"review","sentiment"
"So many films are now in a Genre described as ""Comedy/Thriller"", as was this one. A fine cast, interesting premise, but what an unpleasant film to watch. Into Hemp films? Then either ""Saving Grace"" or ""Lock, Stock..."" are far more enjoyable films. Rating: Just 2 out of 10 Roach Clips","negative"
"I saw this movie again as an assignment for my management class. Were to mainly comment on the different management styles and ideas on quality(of the product). I did rent this one back in the eighties and I remember it to be good(but not great)movie. I've always liked Michael Keaton's style and delivery. He was a perfect fit for the movie.<br /><br />I am surprised to see some of the low ratings for this movie. I grant you yes it's no Oscar winner but it does have decent comedic value. It's more of a subtle comedy rather than a all-out comedy farce. I also find some of those that felt this was an inaccurate film on cultural and business differences. I beg to differ. I grant you again that there are a lot of generalities and dramatizations but then again this is Hollywood film not a documentary. From what I've read about differences between Automakers on both sides of the Pacific at that time many of the principle ideas were accurate for the time.<br /><br />Some of the basic differences were that Japanese workers made to feel as part of the company as a whole. Teamwork was emphasized. They perhaps made the company above all else. Where American workers had more of a management verses labor type of relationship. The individual was more important than the company. I'll probably get some hate email over that comment I'm sure.<br /><br />Another difference was how quality was viewed and whose responsibility it was to fix. In many Japanese plants defects or problems are examined and fixed at the time it is discovered. Rather as one character in the movie put it ""it was the dealers(meaning car dealer) problem"".<br /><br />Many of these things are probably dated but I'm sure some are still around as many US car makers are still struggling to keep up with the Japanese. If one is more interested in the subject of American, European and Japanese automakers I can recommend a book that studies this subject in more detail and was done around the same time period. The book is called ""The machine that changed the world"" by James Womack, Daniel Jones and Daniel Roos. It's about a study of automakers during and before the time period that this movie covers. Parts are bit dry but I think you'll find that it backs up much the movie also.","positive"
"It does not surprise me that this short (91 minutes) B/W movie that was made 50 years ago in the Soviet Union during the short period called ""ottepel'"" or ""the thaw"", has gained so much love and admiration among the movie lovers over the world. It is sublime and beautifully filmed. Some scenes feel like there were made way ahead of their time. Sergei Urusevsky's camera work and creative discoveries were included in the text books and widely imitated. The film tells the moving and timeless story of love destroyed by merciless war but eternally alive in the memory of a young woman. It is also the film about loyalty, memories, ability to live on when it seems there is nothing to live for; it is about forgiveness, and about hope. The film received (absolutely deservingly) the Grand Prix at Cannes Film Festival and Tatiana Samoilova was chosen as a recipient of a special award at Cannes for playing Veronika, the young girl happily in love with the best man in the world in the beginning of the movie. After separation with her beloved who went to the front, the loss of her family in the bomb ride, and the marriage to the man she never loved and only wished he never existed, she turned to the shadow of herself, she became dead inside. Her long journey to redemption, to finally accepting death of her beloved and to learning how to live with it, is a fascinating and heartbreaking one and it simply won't leave any viewer indifferent.<br /><br />For me, the movie is very personal and dear because I was born and grew up in the city where its characters lived and were so happy in the beginning. I walked the same streets, squares, and bridges over the Moskva River. Every family in the former Soviet Union had lost at least one but often more than one family member to a combat or to the concentration camp or to the ghetto or to hunger, cold, and illnesses during WWII and my family is not exception. My mother and grandmother knew the horrors of war and never healing pain of losses not just from the movies and the books. ""Cranes are Flying"" speaks to me clearly and honestly and touches me very deeply. It is a masterpiece of movie making but it is a part of my life - my background, my memory, and my past.","positive"
"Dear Readers,<br /><br />The final battle between the Rebellion and Empire. The Second Death Star is nearing completion and when it is completed it will spell doom for the Rebel Alliance. Luke Skywalker, now a Jedi knight, returns from Tatooine with Han Solo and Princess Leia, now revealed as Luke's twin sister! They agree to lead the attack on the Shield generator on the Forest moon of Endor while Lando Calrissian leads the attack on the Death Star. Little do they know that a most ingenious trap has been laid for them and the Emperor Palpatine himself is personally overseeing the construction of the Second Death Star.<br /><br />Return of the Jedi is my favorite of the Original Trilogy. It's got action, drama, romance, great battles, fantastic Acting, amazing fight scenes, and awesome music by John Williams. Mark Hamill is fully matured now into a Jedi Knight, gone is the naive farm-boy and in his place is a calm, relaxed Jedi determined to save the galaxy. Leia is still cool in this film as well as Han and Lando. 3P0, R2, and Chewie do their roles to a T while James Earl Jones still is cinema's greatest villain: Darth Vader. Ian McDiarmid is also an excellent villain as the twisted and brutally ruthless Emperor Palpatine. The Action sequences of this movie are breathtakingly amazing and the sword fights are serious and gritty. John Williams's score is still cool and enhances the film by several levels.<br /><br />Signed, The Constant DVD Collector","positive"
"Help, I've ended up in cinema hell! What a completely stupid film this is. Really nothing is good about it. <br /><br />Let's spit it out:<br /><br />1) The story is incredibly far-fetched: an anti-EU terrorist group is chasing a bunch of guys who drive around Western Europe carrying a delivery of see-through bags full of xtc pills. And the worst thing is: they are serious about it!<br /><br />2) The level of acting should put great shame on all faces involved. <br /><br />3) Some money-eyed guy decided to let every one talk English so that the international market would catch on. Ugliest advertising ever! The French and Dutch native tongues talking smart make all but sense and the result is laughable. <br /><br />4) The soundtrack is totally misplaced and ill-chosen.<br /><br />5) The camera, edit and effects work is supposed to be of some post noir road movie kind of style, but is hardly worth some thing and not meant to accompany this story (read: anti- story).<br /><br />6) Hidde Maas. The hero of Wildschut never fails to convince. A true actor. Usually I would give an extra point just for the sake of him being around. But no, sorry, not this time, I would just not forgive my self...","negative"
"I am probably a little too old for this movie, 16, and being a guy, the story is a little too girlie, but I really thought it was a cool movie overall. All the girls in this movie are so hot and really great actresses, from Alana, to Adrianne, to Deena, to Kimberly, all the way down to the cute girl that plays Alana's little sister, Rachel. I am not a huge pop-star fan with the lovesick songs, but I thought that Aaron Carter did a really great job in this, and seems like he was really into this movie, and made it seem real. My mom liked all the older farts that she grew up with, so that's cool too. I kept thinking that I liked a lot of the people, and wonder if I will see them again? A sequel would be cool. I rented this, but I might buy it too, since I have a ton of DVD's, and like to go back to see something that I missed. I couldn't buy it at Blockbuster though, so I don't know where I could buy it right now, but I'll look into that. Anyway, I am a 16 year old guy, I already said that, I know, but I would totally take a date to see this. It's really good for all ages, really. I think even my little half sister who is 6 could see this. That's what is so cool about it, that it is something that all ages can see. I'm sure that was done on purpose, but it really works. Girls can dream about being with Aaron Carter, and guys like me can dream about all the hot chicks in this movie. There is something for everyone.","positive"
"Tyra & the rest of the modeling world needs to know that real women like myself and my daughter don't care to see all the ridiculous modeling to sell something. Weird locations, too much makeup & too much skin is not necessary. Sex does not always sell when you are selling to women. The same goes for the horse stomping runway walk that looks unnatural. People come in all shapes & sizes & they need to have that on the show. My daughter has a 36"" inseam, is tall & slender & a size 5, I am more average at a size 12. We would like to see both- I can not picture how something would look on me when a size 2 is wearing it, it will not fit the same way on me. I do not buy magazines anymore because they are one sided on this matter. We would really love the show to consider women of all sizes. Thank you.","negative"
"Not just the money we paid to rent it or actually go to the movies. I'm talking about how big productions companies waste so much money in things that actually are boring and not to talk about ridiculous. With the millions they used to make a movie like this, because I don't think the actors here would actually work for free or for an insignificant sum. With that money imagine how many good independent movies you could make, or maybe one good Hollywood movie. Its just to rip you off, but not anyone, just the majority of teens that are willing to go and see an Ashton Kutcher movie, just because they are fans of him. I don't really know either how someone with common sense could actually act in this kind of movie. If you actually look at it in prospective the actors are the same quality of this movie. So i guess I shouldn't be surprise, I actually couldn't have expected more.","negative"
"Student Seduction finds Saved By The Bell Alumni Elizabeth Berkley on the other side of the desk and attracting the attention of young and hunky Corey Sevier. Speaking for myself I can truthfully say that no teachers save one ever did anything for me hormonally back when I was a student. That was a Ms. Diaz who was a music teacher in Junior High School. Even as a young gay kid, I could see what she was doing to the rest of the class. She was the only teacher I had who in any way could have been played by Elizabeth Berkley.<br /><br />Corey being the hotty he is, is also used to having his own way with women whether they agree or not. The fact that he comes from rich parents reinforces that belief. He's flunking chemistry which is what Berkley teaches and to keep his GPA up she agrees to tutor, but believe no more. <br /><br />So when he attempts a rape and gets no for an answer it's damaging to his ego. When Berkley goes out of channels and reports the crime to the police, the cops who are keeping in mind the cases of Pamela Smart and Mary Kay LeTourneau just don't believe here. Sevier's parents have the wherewithal to get a good publicity spin on this for their boy.<br /><br />Student Seduction which is a misnomer of a title if there ever was one is trash all the way. After the beating that Berkley took for Showgirls this TV film was not an upward career move.","negative"
"Imagine that ""Dragnet"" episode where Friday and Gannon go into a typical 1970 den of hippie inequity, but instead of giving everyone a lecture, they ""get some."" That's ""Joe"" in a nutshell.<br /><br />This film of a working-class bigot and a rich guy who's just killed his girlfriend's drug-dealer boyfriend has dated terribly and most of the supporting acting is stilted, but it's still interesting to watch. Peter Boyle, then about 35, plays Joe (the bigot), and he looks like James Gandolfini. In her film debut, Susan Sarandon plays the doe-eyed daughter, and while she doesn't necessarily hint at her future greatness, you can't take your eyes off her.","positive"
